model,episode,step,waiting_time,queue_length,mean_speed
Random,1,292,238.0,27,2.867602145090325
Random,1,293,335.0,31,2.6155659292502764
Random,1,294,524.0,41,1.9344418426426357
Random,1,295,751.0,46,2.2536936446903164
Random,1,296,981.0,46,1.502465004925354
Random,1,297,1214.0,48,1.3339301306307618
Random,1,298,1454.0,48,1.3806980195532002
Random,1,299,1694.0,48,0.43216691642521493
Random,1,300,1944.0,50,0.7491529170320878
Random,1,301,2194.0,50,0.016722541024669524
Random,1,302,2188.0,46,1.9303442191138054
Random,1,303,2206.0,38,2.975790820042731
Random,1,304,1950.0,35,2.7566422105129216
Random,1,305,1419.0,36,2.6307733281313217
Random,1,306,960.0,29,3.636585651263423
Random,1,307,547.0,23,4.87905759442031
Random,1,308,273.0,17,4.870617191705234
Random,1,309,381.0,25,4.429614803524755
Random,1,310,340.0,26,3.487357837423883
Random,1,311,289.0,24,2.7377372585662036
Random,1,312,435.0,36,2.4295175941014158
Random,1,313,652.0,47,0.8697263118913621
Random,1,314,917.0,57,0.4219676385001558
Random,1,315,1001.0,51,0.6822300717079682
Random,1,316,939.0,42,3.05662916061919
Random,1,317,766.0,30,4.060919548120047
Random,1,318,517.0,21,3.784713938057735
Random,1,319,532.0,27,3.166931615617529
Random,1,320,700.0,37,1.7776952736900127
Random,1,321,490.0,43,1.339301509106738
Random,1,322,549.0,43,1.9432457047435772
Random,1,323,611.0,47,1.6038962353044335
Random,1,324,582.0,40,3.0261893681987324
Random,1,325,591.0,35,2.909996225820741
Random,1,326,561.0,35,1.7324388228679686
Random,1,327,553.0,32,1.2991450486692033
Random,1,328,690.0,36,2.4279111891817027
Random,1,329,894.0,44,2.077427413847182
Random,1,330,1144.0,55,0.5494053506482034
Random,1,331,1427.0,58,1.5245417602186304
Random,1,332,1685.0,57,1.334099646394154
Random,1,333,1975.0,58,1.5066970209149435
Random,1,334,1825.0,54,1.5865232164568506
Random,1,335,1529.0,46,1.910150726862927
Random,1,336,1627.0,40,3.170038816591875
Random,1,337,1827.0,40,3.722737333898097
Random,1,338,2028.0,41,3.4072943124158326
Random,1,339,2247.0,45,2.459159296351649
Random,1,340,2433.0,42,1.2761613799419034
Random,1,341,2638.0,43,2.0264816104346632
Random,1,342,2345.0,38,2.2866702289930307
Random,1,343,1712.0,31,3.2658793949254803
Random,1,344,1205.0,24,3.1535437394270827
Random,1,345,554.0,20,4.191275933076202
Random,1,346,286.0,15,4.2398763387291
Random,1,347,286.0,12,3.5280738742447038
Random,1,348,174.0,12,3.7707293554389847
Random,1,349,229.0,16,3.6254774000816217
Random,1,350,260.0,16,3.6469992125977093
Random,1,351,280.0,14,4.1229733434508535
Random,1,352,91.0,13,3.8918979173578037
Random,1,353,142.0,16,3.8299234869301455
Random,1,354,234.0,21,2.8452305559179236
Random,1,355,368.0,29,2.1059378045478407
Random,1,356,408.0,30,1.6348731919571224
Random,1,357,392.0,27,3.003557828611108
Random,1,358,166.0,19,3.722510658947586
Random,1,359,71.0,12,3.868378940850194
Random,1,360,79.0,13,5.725727250583174
Random,1,361,164.0,19,4.498519758307822
Random,1,362,290.0,30,2.102479253518089
Random,1,363,456.0,37,1.3456222446584307
Random,1,364,659.0,42,1.3413441388223426
Random,1,365,876.0,44,1.1083580546403746
Random,1,366,1096.0,44,0.38709908302929785
Random,1,367,1215.0,41,1.8597678549833416
Random,1,368,1425.0,42,2.537357194570634
Random,1,369,1567.0,40,1.9654018054130125
Random,1,370,1774.0,42,1.8144289203804669
Random,1,371,1984.0,42,1.6127839361209129
Random,1,372,2201.0,44,1.3673356439021935
Random,1,373,2342.0,40,0.9232619759584407
Random,1,374,2545.0,42,2.842561711418825
Random,1,375,2705.0,38,3.1843319353390176
Random,1,376,2895.0,38,2.5092078711502235
Random,1,377,3105.0,44,2.050257585573856
Random,1,378,3325.0,44,1.0732294152052584
Random,1,379,2921.0,38,1.6172530931342746
Random,1,380,2088.0,28,3.372774860309635
Random,1,381,1295.0,23,3.714736915244257
Random,1,382,735.0,22,3.3005110916108404
Random,1,383,267.0,22,2.0456688783763095
Random,1,384,373.0,31,1.3440508321883151
Random,1,385,548.0,37,1.6349628274152348
Random,1,386,760.0,46,1.5689847926574405
Random,1,387,998.0,48,0.5422297398390491
Random,1,388,1217.0,46,1.7514584268381317
Random,1,389,1447.0,46,2.58590677517782
Random,1,390,1677.0,46,2.0686886992050075
Random,1,391,1548.0,45,1.3180870015344563
Random,1,392,1664.0,40,2.6620856259162085
Random,1,393,1866.0,41,3.045814033753204
Random,1,394,2046.0,40,2.5449572206643465
Random,1,395,2246.0,40,1.4933963100711545
Random,1,396,2414.0,38,2.355490538522817
Random,1,397,2604.0,38,2.6114356560216025
Random,1,398,2796.0,40,2.1918317845752666
Random,1,399,2456.0,36,1.7767404303320247
Random,1,400,1742.0,26,3.1778193790447378
Random,1,401,1185.0,22,3.5891706459494315
Random,1,402,618.0,20,2.3038858587748687
Random,1,403,162.0,14,3.4366071129233178
Random,1,404,182.0,13,4.365553628055412
Random,1,405,84.0,10,3.6205738382888506
Random,1,406,148.0,17,3.7248462634094395
Random,1,407,228.0,22,2.6598623384382436
Random,1,408,360.0,29,2.0553472534257726
Random,1,409,507.0,34,1.048104298502528
Random,1,410,709.0,44,1.5002735639248166
Random,1,411,691.0,42,1.939882827676429
Random,1,412,821.0,38,2.6736037192931064
Random,1,413,791.0,39,2.1823403780503345
Random,1,414,657.0,33,2.7200169237627647
Random,1,415,445.0,22,3.393152969477487
